studieprogramkode;studieprogramnavn;arstall_kull;terminkode_kull;arstall_und;terminkode_und;arstall_eks;terminkode_eks;studentnr;karakter;vurdresstatnavn
BIT;Informatikk - bachelorstudium;2007;HØST;2010;VÅR;2010;VÅR;698856;;Ikke møtt
BIT;Informatikk - bachelorstudium;2008;HØST;2010;VÅR;2010;VÅR;80249;;Ikke møtt
BIT;Informatikk - bachelorstudium;2009;HØST;2014;VÅR;2014;VÅR;713698;;Ikke møtt
BIT;Informatikk - bachelorstudium;2010;HØST;2011;VÅR;2011;VÅR;721981;C;Bestått
BIT;Informatikk - bachelorstudium;2010;HØST;2011;VÅR;2011;VÅR;721983;;Ikke møtt
BIT;Informatikk - bachelorstudium;2011;HØST;2012;VÅR;2012;VÅR;730489;D;Bestått
BIT;Informatikk - bachelorstudium;2011;HØST;2012;VÅR;2012;VÅR;730521;;Ikke møtt
BIT;Informatikk - bachelorstudium;2011;HØST;2014;VÅR;2014;VÅR;707730;;Trekk under eksamen (Avbrutt eksamen)
BIT;Informatikk - bachelorstudium;2011;HØST;2012;VÅR;2012;VÅR;684529;;Manglende øvinger
BIT;Informatikk - bachelorstudium;2011;HØST;2012;VÅR;2012;VÅR;730550;C;Bestått
BIT;Informatikk - bachelorstudium;2011;HØST;2012;VÅR;2012;VÅR;730549;F;Ikke bestått
BIT;Informatikk - bachelorstudium;2011;HØST;2012;VÅR;2012;VÅR;729550;;Gyldig fravær
BIT;Informatikk - bachelorstudium;2012;HØST;2013;VÅR;2013;VÅR;725155;C;Bestått
BIT;Informatikk - bachelorstudium;2012;HØST;2013;VÅR;2013;VÅR;718721;F;Ikke bestått
BIT;Informatikk - bachelorstudium;2012;HØST;2013;VÅR;2013;VÅR;739467;C;Bestått
BIT;Informatikk - bachelorstudium;2012;HØST;2013;VÅR;2013;VÅR;739414;;Ikke møtt
BIT;Informatikk - bachelorstudium;2012;HØST;2015;VÅR;2015;VÅR;730786;D;Bestått
BIT;Informatikk - bachelorstudium;2012;HØST;2013;VÅR;2013;VÅR;739471;D;Bestått
BIT;Informatikk - bachelorstudium;2012;HØST;2013;VÅR;2013;VÅR;736379;B;Bestått
BIT;Informatikk - bachelorstudium;2012;HØST;2015;VÅR;2015;VÅR;739408;E;Bestått
BIT;Informatikk - bachelorstudium;2012;HØST;2013;VÅR;2013;VÅR;739446;C;Bestått
BIT;Informatikk - bachelorstudium;2012;HØST;2013;VÅR;2013;VÅR;739472;;Trekk under eksamen (Avbrutt eksamen)
BIT;Informatikk - bachelorstudium;2012;HØST;2013;VÅR;2013;VÅR;694574;;Trekk under eksamen (Avbrutt eksamen)
BIT;Informatikk - bachelorstudium;2012;HØST;2015;VÅR;2015;VÅR;739439;;Manglende øvinger
BIT;Informatikk - bachelorstudium;2012;HØST;2013;VÅR;2013;VÅR;739436;F;Ikke bestått
BIT;Informatikk - bachelorstudium;2013;HØST;2014;VÅR;2014;VÅR;747522;;Manglende øvinger
BIT;Informatikk - bachelorstudium;2013;HØST;2015;VÅR;2015;VÅR;751334;;Manglende øvinger
BIT;Informatikk - bachelorstudium;2013;HØST;2014;VÅR;2014;VÅR;751425;E;Bestått
BIT;Informatikk - bachelorstudium;2013;HØST;2015;VÅR;2015;VÅR;746106;C;Bestått
BIT;Informatikk - bachelorstudium;2013;HØST;2014;VÅR;2014;VÅR;751368;F;Ikke bestått
BIT;Informatikk - bachelorstudium;2013;HØST;2014;VÅR;2014;VÅR;751389;B;Bestått
BIT;Informatikk - bachelorstudium;2013;HØST;2015;VÅR;2015;VÅR;747565;C;Bestått
BIT;Informatikk - bachelorstudium;2013;HØST;2014;VÅR;2014;VÅR;751371;F;Ikke bestått
BIT;Informatikk - bachelorstudium;2013;HØST;2014;VÅR;2014;VÅR;714972;C;Bestått
BIT;Informatikk - bachelorstudium;2013;HØST;2014;VÅR;2014;VÅR;745675;C;Bestått
BIT;Informatikk - bachelorstudium;2013;HØST;2014;VÅR;2014;VÅR;751331;D;Bestått
BIT;Informatikk - bachelorstudium;2013;HØST;2014;VÅR;2014;VÅR;751439;;Trekk under eksamen (Avbrutt eksamen)
BIT;Informatikk - bachelorstudium;2013;HØST;2015;VÅR;2015;VÅR;751385;;Ikke møtt
BIT;Informatikk - bachelorstudium;2013;HØST;2015;VÅR;2015;VÅR;751406;C;Bestått
BIT;Informatikk - bachelorstudium;2013;HØST;2015;VÅR;2015;VÅR;751429;D;Bestått
BIT;Informatikk - bachelorstudium;2013;HØST;2014;VÅR;2014;VÅR;739129;;Manglende øvinger
